class,probability,left_x,top_y,width,height
rose1,68,242,0,46,9
rose3,84,345,636,29,21
rose3,48,378,979,23,24
rose5,100,381,695,56,52
rose5,99,394,162,51,56
rose5,99,421,867,55,49
rose1,98,453,-1,29,29
rose1,95,474,614,21,17
rose1,100,518,60,29,28
rose3,65,553,982,22,28
rose3,99,623,882,27,26
rose2,39,1060,988,18,16
rose2,100,1311,217,26,25
rose4,79,1374,886,37,30
rose4,65,1402,1176,22,29
rose2,74,1434,682,22,18
rose2,53,1465,1079,23,16
rose2,83,1489,109,30,31
rose3,79,1509,1302,26,32
rose2,99,1510,965,26,25
rose3,87,1526,1200,22,24
rose5,58,1547,566,49,49
rose4,83,1561,159,38,36
rose3,40,1593,824,29,25
rose1,45,1594,662,25,20
rose1,98,1622,194,21,26
rose5,100,1634,1023,70,59
rose5,100,1637,1167,86,73
rose1,98,1646,95,30,27
