distance_05_06,x_05,y_05,x_06,y_06,class_05,class_06_x,distance_06_07,x_07,y_07,class_06_y,class_07_x,distance_07_08,x_08,y_08,class_07_y,class_08_x,distance_08_09,x_09,y_09,class_08_y,class_09
3.16227766,1633,1020,1634,1023,rose5,rose5,,,,,,,,,,,,,,,
3.605551275,1377,888,1374,886,rose2,rose4,,,,,,,,,,,,,,,
6,388,162,394,162,rose4,rose5,,,,,,,,,,,,,,,
6.08276253,1638,1161,1637,1167,rose5,rose5,,,,,,,,,,,,,,,
6.32455532,551,988,553,982,rose2,rose3,,,,,,,,,,,,,,,
6.403124237,425,872,421,867,rose4,rose5,,,,,,,,,,,,,,,
7.280109889,379,702,381,695,rose5,rose5,,,,,,,,,,,,,,,
7.280109889,1463,1072,1465,1079,rose2,rose2,,,,,,,,,,,,,,,
5.385164807,1588,822,1593,824,rose2,rose3,14,1593,810,rose3,rose4,,,,,,,,,,
6.08276253,447,0,453,-1,rose1,rose1,4,449,-1,rose1,rose1,,,,,,,,,,
8.062257748,1553,160,1561,159,rose2,rose4,7.280109889,1559,152,rose4,rose4,,,,,,,,,,
15.29705854,1631,92,1646,95,rose1,rose1,8.485281374,1652,89,rose1,rose2,,,,,,,,,,
,,,242,0,,,4,238,0,rose1,rose1,,,,,,,,,,
,,,1622,194,,,6.403124237,1626,189,rose1,rose2,,,,,,,,,,
,,,1526,1200,,,9.219544457,1524,1191,rose3,rose3,,,,,,,,,,
3.605551275,621,885,623,882,rose2,rose3,8.602325267,630,887,rose3,rose3,9.848857802,626,878,rose3,rose4,,,,,
5,1399,1172,1402,1176,rose2,rose4,14.2126704,1393,1165,rose4,rose4,6,1387,1165,rose4,rose4,,,,,
7.071067812,1429,677,1434,682,rose2,rose2,12.80624847,1444,690,rose2,rose3,4.242640687,1441,687,rose3,rose2,16.1245155,1433,673,rose2,rose4
7.280109889,1507,1295,1509,1302,rose2,rose3,13.03840481,1496,1301,rose3,rose4,19.23538406,1479,1292,rose4,rose5,,,,,
10.04987562,517,70,518,60,rose1,rose1,7.280109889,511,58,rose1,rose2,7,511,51,rose2,rose2,10.44030651,501,48,rose2,rose2
12.04159458,1299,216,1311,217,rose2,rose2,2.828427125,1313,215,rose2,rose3,17.08800749,1307,199,rose3,rose4,,,,,
,,,1510,965,,,1.414213562,1509,964,rose2,rose3,4.242640687,1506,967,rose3,rose4,27.85677655,1496,941,rose4,rose5
,,,378,979,,,2.236067977,379,977,rose3,rose3,5.830951895,374,974,rose3,rose4,,,,,
,,,474,614,,,3,471,614,rose1,rose2,10.29563014,480,609,rose2,rose2,12.16552506,468,607,rose2,rose3
,,,1489,109,,,3.605551275,1492,107,rose2,rose2,5.830951895,1495,102,rose2,rose2,15.62049935,1485,90,rose2,rose3
,,,,,,,,1590,367,,,4.123105626,1594,368,rose1,rose2,,,,,
,,,,,,,,1639,1310,,,4.123105626,1635,1309,rose1,rose1,,,,,
,,,,,,,,1508,885,,,17.02938637,1491,884,rose4,rose5,,,,,
,,,,,,,,,,,,,482,225,,,9.848857802,473,221,rose1,rose1
,,,,,,,,,,,,,1600,654,,,10.19803903,1602,644,rose1,rose3
,,,,,,,,,,,,,331,878,,,20.39607805,311,874,rose2,rose3
,,,,,,,,,,,,,548,969,,,25.29822128,524,977,rose4,rose5
,,,,,,,,,,,,,1490,246,,,28.42534081,1468,228,rose2,rose2
