distance,before,after
1.4142135623730951,[1510  965],[1509  964]
2.23606797749979,[378 979],[379 977]
2.8284271247461903,[1311  217],[1313  215]
3.0,[474 614],[471 614]
3.605551275463989,[1489  109],[1492  107]
4.0,[242   0],[238   0]
4.0,[453  -1],[449  -1]
6.4031242374328485,[1622  194],[1626  189]
7.280109889280518,[518  60],[511  58]
7.280109889280518,[1561  159],[1559  152]
8.48528137423857,[1646   95],[1652   89]
8.602325267042627,[623 882],[630 887]
9.219544457292887,[1526 1200],[1524 1191]
12.806248474865697,[1434  682],[1444  690]
13.038404810405298,[1509 1302],[1496 1301]
14.0,[1593  824],[1593  810]
14.212670403551895,[1402 1176],[1393 1165]
73.92563831310488,[1547  566],[1479  537]
101.6070863670443,[421 867],[321 885]
143.01398533010678,[1637 1167],[1639 1310]
152.95751043999115,[553 982],[ 623 1118]
181.13530854032848,[1060  988],[ 981 1151]
295.0271173977063,[1594  662],[1590  367]
322.8652969893172,[381 695],[222 976]
611.8986844241455,[1374  886],[ 832 1170]
868.1295986199295,[1634 1023],[1314  216]
