distance,before_x,before_y,after_x,after_y,class_before,probability_before,class_after,probability_after
9.848857801796104,482,225,473,221,rose1,98,rose1,94
10.198039027185569,1600,654,1602,644,rose1,98,rose3,99
10.44030650891055,511,51,501,48,rose2,98,rose2,100
12.165525060596439,480,609,468,607,rose2,98,rose3,36
15.620499351813308,1495,102,1485,90,rose2,98,rose3,38
16.1245154965971,1441,687,1433,673,rose2,95,rose4,99
20.396078054371138,331,878,311,874,rose2,48,rose3,99
25.298221281347036,548,969,524,977,rose4,98,rose5,100
27.85677655436824,1506,967,1496,941,rose4,63,rose5,100
28.42534080710379,1490,246,1468,228,rose2,47,rose2,64
34.132096331752024,277,523,274,489,rose1,55,rose1,40
74.67261881037788,1387,1165,1457,1139,rose4,75,rose2,100
119.87076374162301,1479,1292,1519,1179,rose5,100,rose4,84
156.08010763707205,374,974,218,969,rose4,99,rose1,61
188.73261509341728,1594,368,1626,182,rose2,81,rose2,93
300.77566390916667,1307,199,1112,428,rose4,99,rose2,34
314.6823795511913,1293,786,1476,530,rose2,98,rose2,93
424.6056994436132,1204,1082,797,961,rose2,31,rose1,78
543.2807745540053,737,-1,222,172,rose5,53,rose1,98
891.7090332614109,1491,884,1608,0,rose5,100,rose2,72
1457.4477692185062,1635,1309,212,994,rose1,98,rose2,53
