class,probability,left_x,top_y,width,height
rose1,76,208,965,26,16
rose2,53,212,994,29,29
rose1,61,218,969,23,14
rose1,98,222,172,33,28
rose1,40,274,489,33,32
rose3,99,311,874,42,36
rose3,36,468,607,32,29
rose1,94,473,221,24,26
rose2,100,501,48,39,32
rose5,100,524,977,56,48
rose1,78,797,961,20,15
rose2,34,1112,428,26,22
rose4,99,1433,673,48,40
rose2,100,1457,1139,26,28
rose2,64,1468,228,26,16
rose2,93,1476,530,30,22
rose3,38,1485,90,41,39
rose5,100,1496,941,65,61
rose4,84,1519,1179,48,49
rose3,99,1602,644,34,27
rose2,72,1608,0,39,8
rose2,93,1626,182,31,32
